Got it. I’ll compile a structured, no-fluff list of all U.S. and U.S. territories' elections scheduled from now through November 3, 2026. This will include political office elections only — federal, state, local, and special — with clear tables showing date, state/territory, election type, office(s), and known candidates when available.


## June 2025 

| Date          | State/Territory | Type  | Office/Position                                             | Known Candidates                           | Notes                                          |
| June 24, 2025 | New York        | Local | New York County (Manhattan) – Local Primary Elections       | (party candidates)                         | Primaries for Manhattan borough offices        |
| June 24, 2025 | New York        | Local | New York City – Primary Election (citywide offices)         | (party candidates)                         | Primary for NYC Mayor & Council                |
| June 24, 2025 | New York        | Local | Queens County – Special Primary (vacant office)             | TBD                                        | Primary to fill a local vacancy (Queens)       |
| June 24, 2025 | South Carolina  | Local | Various local municipal elections                           | (various candidates)                       | Local elections in multiple SC municipalities  |

## July 2025

| Date          | State/Territory   | Type    | Office/Position                                           | Known Candidates | Notes                                         |
| ------------- | ----------------- | ------- | --------------------------------------------------------- | ---------------- | --------------------------------------------- |
| July 1, 2025  | California        | Local   | San Diego County – Board of Supervisors District 1        | TBD              | Special election to fill county board seat    |
| July 1, 2025  | Missouri          | Local   | St. Louis – Board of Aldermen Ward 8 (special)            | TBD              | Special election for vacant alderman seat     |
| July 8, 2025  | Rhode Island      | Local   | **Statewide Municipal General Elections**                 | (various)        | Local city/town elections across Rhode Island |
| July 8, 2025  | Rhode Island      | State   | State Senate District 4 (special primary)                 | TBD              | To fill vacancy in RI Senate                  |
| July 15, 2025 | Alabama           | State   | State House District 12 (special primary)                 | TBD              | To fill vacancy in AL House                   |
| July 15, 2025 | Arizona           | Federal | U.S. House – Arizona District 7 (special primary)         | TBD              | Primary for vacant U.S. House seat            |
| July 15, 2025 | D.C. (Washington) | Local   | City Council Ward 8 (special election)                    | TBD              | Special election for D.C. Council seat        |
| July 15, 2025 | Georgia           | State   | Public Service Commission Dist. 2 & 3 (primary runoff)    | TBD              | Runoff for PSC special election primary       |
| Aug 5, 2025   | Arizona           | Local   | South Tucson – Mayoral Recall Election                    | TBD              | Recall vote for mayor                         |
| Aug 5, 2025   | Arizona           | Local   | Tucson – Municipal Primary Election                       | (candidates)     | Primary for Mayor and Council (Nov 2025)      |
| Aug 5, 2025   | Kansas            | Local   | Circle USD 375 – School Board (primary)                   | (candidates)     | Primary for school board election             |
| Aug 5, 2025   | Kansas            | Local   | Goddard USD 265 – School Board (primary)                  | (candidates)     | Primary for school board election             |
| Aug 5, 2025   | Kansas            | Local   | Haysville USD 261 – School Board (primary)                | (candidates)     | Primary for school board election             |
| Aug 5, 2025   | Kansas            | Local   | Maize USD 266 – School Board (primary)                    | (candidates)     | Primary for school board election             |
| Aug 5, 2025   | Kansas            | Local   | Topeka – Municipal Primary Election                       | (candidates)     | Primary for Mayor and Council (Nov 2025)      |
| Aug 5, 2025   | Kansas            | Local   | Wichita – Municipal Primary Election                      | (candidates)     | Primary for Mayor and Council (Nov 2025)      |
| Aug 5, 2025   | Kansas            | Local   | Wichita Public Schools – Board (primary)                  | (candidates)     | Primary for school board election             |
| Aug 5, 2025   | Michigan          | Local   | Detroit – City General Election                           | (candidates)     | Citywide general election (odd-year cycle)    |
| Aug 5, 2025   | Michigan          | Local   | Lansing – Municipal Primary Election                      | (candidates)     | Primary for Mayor and Council (Nov 2025)      |
| Aug 5, 2025   | Mississippi       | State   | State House District 16 (special primary)                 | TBD              | To fill vacancy in MS House                   |
| Aug 5, 2025   | Mississippi       | State   | State House District 22 (special primary)                 | TBD              | To fill vacancy in MS House                   |
| Aug 5, 2025   | Mississippi       | State   | State House District 36 (special primary)                 | TBD              | To fill vacancy in MS House                   |
| Aug 5, 2025   | Mississippi       | State   | State House District 39 (special primary)                 | TBD              | To fill vacancy in MS House                   |
| Aug 5, 2025   | Mississippi       | State   | State House District 41 (special primary)                 | TBD              | To fill vacancy in MS House                   |
| Aug 5, 2025   | Mississippi       | State   | State Senate District 1 (special primary)                 | TBD              | To fill vacancy in MS Senate                  |
| Aug 5, 2025   | Mississippi       | State   | State Senate District 10 (special primary)                | TBD              | To fill vacancy in MS Senate                  |
| Aug 5, 2025   | Mississippi       | State   | State Senate District 11 (special primary)                | TBD              | To fill vacancy in MS Senate                  |
| Aug 5, 2025   | Mississippi       | State   | State Senate District 19 (special primary)                | TBD              | To fill vacancy in MS Senate                  |
| Aug 5, 2025   | Mississippi       | State   | State Senate District 2 (special primary)                 | TBD              | To fill vacancy in MS Senate                  |
| Aug 5, 2025   | Mississippi       | State   | State Senate District 34 (special primary)                | TBD              | To fill vacancy in MS Senate                  |
| Aug 5, 2025   | Mississippi       | State   | State Senate District 41 (special primary)                | TBD              | To fill vacancy in MS Senate                  |
| Aug 5, 2025   | Mississippi       | State   | State Senate District 42 (special primary)                | TBD              | To fill vacancy in MS Senate                  |
| Aug 5, 2025   | Mississippi       | State   | State Senate District 44 (special **general**)            | TBD              | **Filled** vacancy in MS Senate               |
| Aug 5, 2025   | Mississippi       | State   | State Senate District 45 (special **general**)            | TBD              | **Filled** vacancy in MS Senate               |
| Aug 5, 2025   | Rhode Island      | State   | State Senate District 4 (special general)                 | TBD              | Filled vacancy in RI Senate                   |
| Aug 5, 2025   | Washington        | Local   | King County – County Offices Primary                      | (candidates)     | Primary for county executive/council          |
| Aug 5, 2025   | Washington        | Local   | Lake Washington School District – Board (primary)         | (candidates)     | Primary for school board election             |
| Aug 5, 2025   | Washington        | Local   | Olympia – Municipal Primary Election                      | (candidates)     | Primary for Mayor and Council (Nov 2025)      |
| Aug 5, 2025   | Washington        | Local   | Seattle – Municipal Primary Election                      | (candidates)     | Primary for City Council (district seats)     |
| Aug 5, 2025   | Washington        | Local   | Seattle Public Schools – Board (primary)                  | (candidates)     | Primary for school board election             |
| Aug 5, 2025   | Washington        | Local   | Seattle School Board District 2 (special primary)         | TBD              | To fill vacancy on school board               |
| Aug 5, 2025   | Washington        | Local   | Spokane – Tax/Bond Measure Election                       | N/A              | Local ballot measures (no offices)            |
| Aug 5, 2025   | Washington        | Local   | Spokane – Municipal Primary Election                      | (candidates)     | Primary for Mayor and Council (Nov 2025)      |
| Aug 5, 2025   | Washington        | State   | State House District 33-1 (special primary)               | TBD              | To fill vacancy in WA House                   |
| Aug 5, 2025   | Washington        | State   | State House District 34-1 (special primary)               | TBD              | To fill vacancy in WA House                   |
| Aug 5, 2025   | Washington        | State   | State House District 41-1 (special primary)               | TBD              | To fill vacancy in WA House                   |
| Aug 5, 2025   | Washington        | State   | State House District 48-1 (special primary)               | TBD              | To fill vacancy in WA House                   |
| Aug 5, 2025   | Washington        | State   | State Senate District 26 (special primary)                | TBD              | To fill vacancy in WA Senate                  |
| Aug 5, 2025   | Washington        | State   | State Senate District 33 (special primary)                | TBD              | To fill vacancy in WA Senate                  |
| Aug 5, 2025   | Washington        | State   | State Senate District 34 (special primary)                | TBD              | To fill vacancy in WA Senate                  |
| Aug 5, 2025   | Washington        | State   | State Senate District 48 (special primary)                | TBD              | To fill vacancy in WA Senate                  |
| Aug 5, 2025   | Washington        | State   | State Senate District 5 (special primary)                 | TBD              | To fill vacancy in WA Senate                  |
| Aug 12, 2025  | Alabama           | State   | State House District 12 (special **primary runoff**)      | TBD              | Runoff of July primary (fill vacancy)         |
| Aug 12, 2025  | Minnesota         | Local   | St. Paul City Council Ward 4 (special election)           | TBD              | Filled vacant council seat                    |
| Aug 12, 2025  | Oklahoma          | State   | State House District 97 (special **primary runoff**)      | TBD              | Runoff of June primary (fill vacancy)         |
| Aug 26, 2025  | Alabama           | State   | State House District 11 (special **general**)             | TBD              | **Filled** vacancy in AL House                |
| Aug 26, 2025  | Alabama           | Local   | Birmingham – Mayor and City Council General               | (candidates)     | Regular municipal election                    |
| Aug 26, 2025  | Alabama           | Local   | Birmingham City Schools – Board (general)                 | (candidates)     | Regular school board election                 |
| Aug 26, 2025  | California        | State   | State Assembly District 63 (special **general**)          | TBD              | **Filled** vacancy in CA Assembly             |
| Aug 26, 2025  | Georgia           | State   | State Senate District 21 (special **general**)            | N/A              | **Filled** vacancy (candidate unopposed)      |
| Sep 2, 2025   | Florida           | State   | State House District 40 (special **general**)             | TBD              | **Filled** vacancy in FL House                |
| Sep 2, 2025   | Florida           | State   | State Senate District 15 (special **general**)            | TBD              | **Filled** vacancy in FL Senate               |
| Sep 9, 2025   | Massachusetts     | Local   | Boston – Preliminary Municipal Election                   | (candidates)     | Preliminary (non-partisan) for Mayor/Council  |
| Sep 9, 2025   | N. Carolina       | Local   | Charlotte – Municipal Primary Election                    | (candidates)     | Primary for Mayor and Council (Nov 2025)      |
| Sep 9, 2025   | Ohio              | Local   | Cleveland – Municipal Primary Election                    | (candidates)     | Primary for Mayor (if needed) & Council       |
| Sep 9, 2025   | Ohio              | Local   | Maumee – City Council Recall Election                     | (recall)         | Recall vote for council member                |
| Sep 9, 2025   | Oklahoma          | State   | State House District 97 (special **general**)             | TBD              | **Filled** vacancy in OK House                |
| Sep 16, 2025  | California        | Local   | San Francisco – Board of Supervisors District 4 Recall    | (recall)         | Recall vote for District 4 Supervisor         |
| Sep 16, 2025  | Maryland          | Local   | Annapolis – Municipal Primary Election                    | (candidates)     | Primary for Mayor and Council (Nov 2025)      |
| Sep 16, 2025  | New Hampshire     | Local   | Manchester – School Board Primary                         | (candidates)     | Primary for school board (Nov 2025)           |
| Sep 23, 2025  | Arizona           | Federal | **U.S. House – Arizona District 7 (special **general**)** | TBD              | Fills vacancy in U.S. House                   |
| Sep 23, 2025  | Georgia           | State   | State Senate District 21 (special runoff)                 | TBD              | Runoff of Aug 26 special (if needed)          |
| Oct 7, 2025   | Alaska            | Local   | Juneau – Municipal General Election                       | (candidates)     | Regular local election (borough-wide)         |
| Oct 7, 2025   | Alabama           | Local   | Birmingham – Municipal Runoff Elections                   | (candidates)     | Runoffs for Birmingham mayor/council          |
| Oct 7, 2025   | Michigan          | Local   | Birmingham (MI) City School Board – Runoff                | (candidates)     | Runoff for school board seats                 |
| Oct 7, 2025   | N. Carolina       | Local   | Charlotte – Municipal Primary Runoff                      | (candidates)     | Runoff for mayor/council primaries            |
| Oct 7, 2025   | N. Carolina       | Local   | Durham – Municipal Primary Election                       | (candidates)     | Primary for Mayor and Council (Nov 2025)      |
| Oct 7, 2025   | N. Carolina       | Local   | Greensboro – Municipal Primary Election                   | (candidates)     | Primary for Mayor and Council (Nov 2025)      |
| Oct 11, 2025  | Louisiana         | Local   | Baton Rouge – Mayor-President (special primary)           | (candidates)     | Special primary for parish mayor (vacancy)    |
| Oct 11, 2025  | Louisiana         | Local   | New Orleans – Municipal General Election                  | (candidates)     | Citywide local election (odd-year cycle)      |
| Oct 28, 2025  | Alabama           | State   | State House District 12 (special **general**)             | TBD              | **Filled** vacancy in AL House                |

## November 2025 

| Date         | State/Territory | Type    | Office/Position                                            | Known Candidates                         | Notes                                           |
| ------------ | --------------- | ------- | ---------------------------------------------------------- | ---------------------------------------- | ----------------------------------------------- |
| Nov 4, 2025  | Arizona         | Local   | Tucson – Mayor & City Council (general election)           | Regina Romero (D) vs. Ed Ackerley (I)    | Regular municipal election                      |
| Nov 4, 2025  | Colorado        | State   | **Colorado – Statewide Coordinated General Election**      | (various)                                | Includes local and school board races statewide |
| Nov 4, 2025  | Colorado        | Local   | School District 27J – Board District 6 (special)           | TBD                                      | Filled vacant school board seat                 |
| Nov 4, 2025  | Florida         | Local   | Hialeah – Municipal Primary Election                       | (candidates)                             | Primary for Mayor and Council (runoff Nov 11)   |
| Nov 4, 2025  | Florida         | Local   | Miami – Mayor & City Commission (general)                  | (candidates)                             | City general election (runoff Nov 18)           |
| Nov 4, 2025  | Florida         | Local   | Orlando – Mayor & Council (general)                        | (candidates)                             | City general election (runoff Dec 9)            |
| Nov 4, 2025  | Georgia         | Local   | Atlanta – Mayor & City Council (general)                   | Andre Dickens (inc.) vs. TBD             | Regular municipal election                      |
| Nov 4, 2025  | Georgia         | Local   | Atlanta Public Schools – Board (general)                   | (candidates)                             | School board general election                   |
| Nov 4, 2025  | Georgia         | State   | **Georgia – Special Statewide General Election**           | TBD                                      | Special election (Public Service Commission)    |
| Nov 4, 2025  | Iowa            | Local   | Des Moines – Mayor & Council (general)                     | (candidates)                             | City general election (runoff Dec 2)            |
| Nov 4, 2025  | Iowa            | Local   | Des Moines Public Schools – Board (general)                | (candidates)                             | School board general election                   |
| Nov 4, 2025  | Idaho           | Local   | Boise – Mayor & City Council (general)                     | (candidates)                             | City general election (nonpartisan)             |
| Nov 4, 2025  | Idaho           | Local   | West Ada School District – Board (general)                 | (candidates)                             | School board general election                   |
| Nov 4, 2025  | Kansas          | Local   | Circle USD 375 – School Board (general)                    | (candidates)                             | School board general election                   |
| Nov 4, 2025  | Kansas          | Local   | Goddard USD 265 – School Board (general)                   | (candidates)                             | School board general election                   |
| Nov 4, 2025  | Kansas          | Local   | Haysville USD 261 – School Board (general)                 | (candidates)                             | School board general election                   |
| Nov 4, 2025  | Kansas          | Local   | Maize USD 266 – School Board (general)                     | (candidates)                             | School board general election                   |
| Nov 4, 2025  | Kansas          | Local   | Topeka – Mayor & City Council (general)                    | (candidates)                             | Regular municipal election                      |
| Nov 4, 2025  | Kansas          | Local   | Wichita – Mayor & City Council (general)                   | (candidates)                             | Regular municipal election                      |
| Nov 4, 2025  | Kansas          | Local   | Wichita Public Schools – Board (general)                   | (candidates)                             | School board general election                   |
| Nov 4, 2025  | Massachusetts   | Local   | Boston – Mayor & City Council (general)                    | Michelle Wu (inc.) vs. John Barros (TBD) | Regular municipal election                      |
| Nov 4, 2025  | Maryland        | State   | **Maryland – Statewide General Election**                  | (various)                                | Includes Baltimore Mayor & local offices        |
| Nov 4, 2025  | Maine           | State   | **Maine – Statewide General Election**                     | (various)                                | Includes state legislature **specials**         |
| Nov 4, 2025  | Michigan        | Local   | Detroit – Mayor & City Council (general)                   | Mike Duggan (inc.) vs. TBD               | Regular municipal election                      |
| Nov 4, 2025  | Michigan        | Local   | Lansing – Mayor & City Council (general)                   | (candidates)                             | Regular municipal election                      |
| Nov 4, 2025  | Minnesota       | Local   | Anoka-Hennepin School District – Board (general)           | (candidates)                             | School board general election                   |
| Nov 4, 2025  | Minnesota       | Local   | Minneapolis – City Council (general election)              | (candidates)                             | City council election (Mayor was 2021)          |
| Nov 4, 2025  | Minnesota       | Local   | St. Paul – Mayor & City Council (general)                  | Melvin Carter (inc.) vs. TBD             | Regular municipal election                      |
| Nov 4, 2025  | Mississippi     | State   | State House District 16 (special **general**)              | TBD                                      | **Filled** vacancy (HD-16)                      |
| Nov 4, 2025  | Mississippi     | State   | State House District 22 (special **general**)              | TBD                                      | **Filled** vacancy (HD-22)                      |
| Nov 4, 2025  | Mississippi     | State   | State House District 36 (special **general**)              | TBD                                      | **Filled** vacancy (HD-36)                      |
| Nov 4, 2025  | Mississippi     | State   | State House District 39 (special **general**)              | TBD                                      | **Filled** vacancy (HD-39)                      |
| Nov 4, 2025  | Mississippi     | State   | State House District 41 (special **general**)              | TBD                                      | **Filled** vacancy (HD-41)                      |
| Nov 4, 2025  | Mississippi     | State   | State Senate District 1 (special **general**)              | TBD                                      | **Filled** vacancy (SD-1)                       |
| Nov 4, 2025  | Mississippi     | State   | State Senate District 10 (special **general**)             | TBD                                      | **Filled** vacancy (SD-10)                      |
| Nov 4, 2025  | Mississippi     | State   | State Senate District 11 (special **general**)             | TBD                                      | **Filled** vacancy (SD-11)                      |
| Nov 4, 2025  | Mississippi     | State   | State Senate District 19 (special **general**)             | TBD                                      | **Filled** vacancy (SD-19)                      |
| Nov 4, 2025  | Mississippi     | State   | State Senate District 2 (special **general**)              | TBD                                      | **Filled** vacancy (SD-2)                       |
| Nov 4, 2025  | Mississippi     | State   | State Senate District 34 (special **general**)             | TBD                                      | **Filled** vacancy (SD-34)                      |
| Nov 4, 2025  | Mississippi     | State   | State Senate District 41 (special **general**)             | TBD                                      | **Filled** vacancy (SD-41)                      |
| Nov 4, 2025  | Mississippi     | State   | State Senate District 42 (special **general**)             | TBD                                      | **Filled** vacancy (SD-42)                      |
| Nov 4, 2025  | Mississippi     | State   | State Senate District 44 (special **general**)             | TBD                                      | **Filled** vacancy (SD-44)                      |
| Nov 4, 2025  | Mississippi     | State   | State Senate District 45 (special **general**)             | TBD                                      | **Filled** vacancy (SD-45)                      |
| Nov 4, 2025  | Montana         | Local   | Helena – Mayor & City Commission (general)                 | (candidates)                             | Regular municipal election                      |
| Nov 4, 2025  | N. Carolina     | Local   | Charlotte – Mayor & City Council (general)                 | Vi Lyles (inc.) vs. TBD                  | Regular municipal election (2-year terms)       |
| Nov 4, 2025  | N. Carolina     | Local   | Durham – Mayor & City Council (general)                    | (candidates)                             | Regular municipal election                      |
| Nov 4, 2025  | N. Carolina     | Local   | Greensboro – Mayor & City Council (general)                | (candidates)                             | Regular municipal election                      |
| Nov 4, 2025  | New Hampshire   | Local   | Concord – Mayor & Council (general)                        | (candidates)                             | City general election (nonpartisan)             |
| Nov 4, 2025  | New Jersey      | Local   | Newark – City Council Special Election                     | (candidates)                             | Special election (vacant council seat)          |
| Nov 4, 2025  | New Jersey      | State   | **New Jersey – Statewide General Election**                | (various)                                | Governor & State Assembly elected               |
| Nov 4, 2025  | New Jersey      | State   | State Senate District 35 (special **general**)             | TBD                                      | **Filled** vacancy in NJ Senate                 |
| Nov 4, 2025  | New Mexico      | Local   | Albuquerque – Mayor & City Council (general)               | (candidates)                             | Regular municipal election (nonpartisan)        |
| Nov 4, 2025  | New Mexico      | Local   | Albuquerque Public Schools – Board (general)               | (candidates)                             | School board general election                   |
| Nov 4, 2025  | New Mexico      | Local   | Bernalillo County – County Offices (general)               | (candidates)                             | County commission and other offices             |
| Nov 4, 2025  | New Mexico      | Local   | Santa Fe – Mayor & City Council (general)                  | (candidates)                             | Regular municipal election                      |
| Nov 4, 2025  | New York        | Local   | Albany – Mayor & Council (general)                         | Kathy Sheehan (inc.) vs. TBD             | Regular municipal election                      |
| Nov 4, 2025  | New York        | Local   | Bronx (County) – Borough Officers (general)                | (candidates)                             | Borough-wide election (Bronx)                   |
| Nov 4, 2025  | New York        | Local   | Bronx (County) – Special Election (vacant office)          | TBD                                      | Filled vacancy (Bronx borough)                  |
| Nov 4, 2025  | New York        | Local   | Buffalo – Mayor & Council (general)                        | (candidates)                             | Regular municipal election                      |
| Nov 4, 2025  | New York        | Local   | Buffalo Public Schools – Board (general)                   | (candidates)                             | School board general election                   |
| Nov 4, 2025  | New York        | Local   | Erie County – County Executive & Legislature               | (candidates)                             | County general election                         |
| Nov 4, 2025  | New York        | Local   | Kings (Brooklyn) – Borough Officers (general)              | (candidates)                             | Borough-wide election (Brooklyn)                |
| Nov 4, 2025  | New York        | Local   | Kings (Brooklyn) – Special Election (vacant office)        | TBD                                      | Filled vacancy (Brooklyn borough)               |
| Nov 4, 2025  | New York        | Local   | New York (Manhattan) – Borough Officers (general)          | (candidates)                             | Borough-wide election (Manhattan)               |
| Nov 4, 2025  | New York        | Local   | New York City – Mayor & Council (general)                  | (candidates)                             | **NYC mayoral election** (off-year cycle)       |
| Nov 4, 2025  | New York        | Local   | NYC Civil Court – Manhattan 9th District (special)         | TBD                                      | Special judicial election (vacancy)             |
| Nov 4, 2025  | New York        | Local   | Queens (County) – Borough Officers (general)               | (candidates)                             | Borough-wide election (Queens)                  |
| Nov 4, 2025  | New York        | Local   | Queens (County) – Special Election (vacant office)         | TBD                                      | Filled vacancy (Queens borough)                 |
| Nov 4, 2025  | New York        | Local   | Richmond (Staten Island) – Borough Officers (general)      | (candidates)                             | Borough-wide election (Staten Island)           |
| Nov 4, 2025  | Ohio            | State   | **Ohio – Statewide General Election**                      | (various)                                | Includes ballot issues & any specials           |
| Nov 4, 2025  | Pennsylvania    | Local   | Allegheny County – Council At-Large (special)              | TBD                                      | Special election (county council seat)          |
| Nov 4, 2025  | Pennsylvania    | State   | **Pennsylvania – Statewide General Election**              | (various)                                | Judicial and local offices (odd-year)           |
| Nov 4, 2025  | South Carolina  | Local   | Columbia – Mayor & City Council (general)                  | (candidates)                             | Regular municipal election                      |
| Nov 4, 2025  | Texas           | Local   | **Texas – Constitutional Amendment Election**              | N/A                                      | Statewide ballot measures (no offices)          |
| Nov 4, 2025  | Texas           | Federal | **U.S. House – Texas District 18 (special **general**)**   | TBD                                      | Fills vacancy in U.S. House                     |
| Nov 4, 2025  | Utah            | Local   | Salt Lake City – Mayor & Council (general)                 | (candidates)                             | Regular municipal election                      |
| Nov 4, 2025  | Virginia        | State   | **Virginia – Statewide General Election**                  | (various)                                | Governor, Lt. Gov., AG, House elected           |
| Nov 4, 2025  | Washington      | Local   | Seattle Public Schools – Board District 2 (special)        | TBD                                      | Filled vacancy on school board                  |
| Nov 4, 2025  | Washington      | Local   | Spokane Public Schools – Board Dist. 3 & 4 (special)       | TBD                                      | Filled vacancies on school board                |
| Nov 4, 2025  | Washington      | State   | **Washington – Statewide General Election**                | (various)                                | State legislature & local races (odd-year)      |
| Nov 4, 2025  | Washington      | State   | Court of Appeals Division I, Dist. 2 (special)             | TBD                                      | Special judicial election (vacancy)             |
| Nov 4, 2025  | Washington      | State   | Court of Appeals Division III, Dist. 3 (special)           | TBD                                      | Special judicial election (vacancy)             |
| Nov 4, 2025  | Washington      | State   | State House District 33-1 (special **general**)            | TBD                                      | **Filled** vacancy in WA House                  |
| Nov 4, 2025  | Washington      | State   | State House District 34-1 (special **general**)            | TBD                                      | **Filled** vacancy in WA House                  |
| Nov 4, 2025  | Washington      | State   | State House District 41-1 (special **general**)            | TBD                                      | **Filled** vacancy in WA House                  |
| Nov 4, 2025  | Washington      | State   | State House District 48-1 (special **general**)            | TBD                                      | **Filled** vacancy in WA House                  |
| Nov 4, 2025  | Washington      | State   | State Senate District 26 (special **general**)             | TBD                                      | **Filled** vacancy in WA Senate                 |
| Nov 4, 2025  | Washington      | State   | State Senate District 33 (special **general**)             | TBD                                      | **Filled** vacancy in WA Senate                 |
| Nov 4, 2025  | Washington      | State   | State Senate District 34 (special **general**)             | TBD                                      | **Filled** vacancy in WA Senate                 |
| Nov 4, 2025  | Washington      | State   | State Senate District 48 (special **general**)             | TBD                                      | **Filled** vacancy in WA Senate                 |
| Nov 4, 2025  | Washington      | State   | State Senate District 5 (special **general**)              | TBD                                      | **Filled** vacancy in WA Senate                 |
